,Student ID,Username,Grade,Grade percent,Упражнение 1: Упражнение,Упражнение 2: Упражнение,Упражнение 3: Упражнение,Упражнение 4: Упражнение,Упражнение 5: Упражнение (программирование),Упражнение 6: Упражнение (без программирования),Упражнение 7: Упражнение,Упражнение (Avg),Cohort Name,Enrollment Track,Verification Status,Certificate Eligible,Certificate Delivered,Certificate Type,Enrollment Status
0,62349,User_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,audit,,N,N,,enrolled
1,64123,User_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
2,236789,User_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
3,847852,User_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Группа по умолчанию,honor,,N,N,,enrolled
4,158,User_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
5,30996,User_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
6,144,User_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Группа по умолчанию,honor,,N,N,,enrolled
7,40395,User_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
8,3053535,User_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
9,3053532,User_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
10,420490,User_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
11,2655809,User_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
12,3053528,User_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
13,1019902,User_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
14,3053523,User_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
15,3053517,User_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
16,3053512,User_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
17,2723972,User_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
18,3053507,User_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
19,1737722,User_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
20,3052132,User_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
21,3053502,User_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
22,3053497,User_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
23,3053492,User_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
24,3053487,User_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
25,1925417,User_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
26,3052346,User_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
27,3052581,User_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
28,83740,User_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
29,3052576,User_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
30,2421789,User_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
31,548606,User_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,honor,,N,N,,enrolled
